draw,channel,decay,k,beta
0,Paid Search,0.08595219303268842,44524.70775114926,912731.6906980225
0,Connected TV,0.45075250449904974,32833.32726306945,247621.18824304937
0,Paid Social,0.4543131323092137,181132.11778644056,527124.2524574721
0,Display,0.7341902123495401,173423.54639651228,386412.3619109501
0,Affiliate,0.6885401789204548,38338.95750352825,208720.75470457165
0,Email / CRM,0.25812584471868355,10161.122389569282,47278.168465632654
0,Direct Mail,0.18259135702724555,109128.59446268699,66243.82852563194
0,Podcast,0.29399510780658406,24467.98718398467,57021.91744255147
1,Paid Search,0.04559743183664824,45998.83239101421,661775.4777146151
1,Connected TV,0.35405191654556006,146243.61984247997,459667.72997173277
1,Paid Social,0.80141270004176,68482.07545993282,396618.6292485962
1,Display,0.5535242003282376,126801.09389855176,602851.3778911447
1,Affiliate,0.21034278363228848,80820.11039474959,265674.58688630234
1,Email / CRM,0.406031210970592,4709.721080113243,115793.77900654629
1,Direct Mail,0.6543357324710646,62445.522082185686,258954.6880642226
1,Podcast,0.8012679779897627,24335.560256150748,107151.9712780444
2,Paid Search,0.19860277490151645,47264.72353383213,889196.7345402777
2,Connected TV,0.5974386812964216,146940.9822947252,1092755.9257507066
2,Paid Social,0.22373649475012,38724.13284489393,225160.40605548822
2,Display,0.6948732142517906,71180.95157907417,547098.4502382857
2,Affiliate,0.15097453189706975,31540.204648973227,275102.4071241544
2,Email / CRM,0.8226654258198762,6322.4525234388,35783.21268094426
2,Direct Mail,0.25517672608066394,117517.99969549268,83187.313140715
2,Podcast,0.4804064585799461,75618.3037095484,211514.17923187828
3,Paid Search,0.08084344768797856,35985.1737499664,956785.7082745768
3,Connected TV,0.43669901262768873,76630.14543311422,446274.07502521574
3,Paid Social,0.6644329357868312,43984.95984169521,116419.80940310236
3,Display,0.4178937197331057,70756.25609747153,247041.03087048233
3,Affiliate,0.09059707582732537,72314.2224612998,421932.7777336432
3,Email / CRM,0.7453677443744294,8811.356161734318,179031.62477267586
3,Direct Mail,0.30452829117244645,48324.36843316095,155661.79196920677
3,Podcast,0.6454003555981311,45025.6523685319,38117.085441221745
4,Paid Search,0.10635823035108691,48910.23792454833,801715.675623574
4,Connected TV,0.503333798043266,96765.2474640456,611881.1403566088
4,Paid Social,0.3927063774149079,109418.24087113256,174272.78375316024
4,Display,0.5502444539605068,27105.636109914503,163673.68348582738
4,Affiliate,0.28015080845473206,21005.50347307747,229485.83563903236
4,Email / CRM,0.6410269711618821,19734.986864300077,166407.045158864
4,Direct Mail,0.5038055042821428,25071.35983750819,122750.88987084186
4,Podcast,0.5971143991142339,7322.488179432835,14040.352479916135
5,Paid Search,0.03539307132508599,43231.16982458377,651836.5022991252
5,Connected TV,0.5079131123818766,118723.53265389094,1018422.4812427891
5,Paid Social,0.4532983404504654,147944.05256780525,597445.5430839655
5,Display,0.31928888270737077,56487.739505049496,212425.3942058127
5,Affiliate,0.3270871032403294,33841.82224902056,435139.7366398407
5,Email / CRM,0.5529146455647085,5885.5563330414825,72018.2854055212
5,Direct Mail,0.43267073599334577,73734.8398989885,236742.02979310142
5,Podcast,0.47853800760786064,46259.543474157625,65610.14931805004
6,Paid Search,0.08064137360305763,43164.8070561612,894125.637957756
6,Connected TV,0.3799845154890162,69995.65942635179,476142.1966576508
6,Paid Social,0.3262697783929885,31183.9896979521,441373.2300629808
6,Display,0.5443567723141934,22281.17856194908,454998.52198225865
6,Affiliate,0.20541989759813536,34193.290091515126,351980.7961003508
6,Email / CRM,0.3019763445303223,9766.200868294509,241163.3665943741
6,Direct Mail,0.4831765752562368,37266.51406267251,183558.56824877133
6,Podcast,0.36426808975156516,26332.461957153217,16841.78123221353
7,Paid Search,0.12131989950208807,41563.025875315696,808713.6548078092
7,Connected TV,0.5313472341947851,67853.24944626665,424696.2816907909
7,Paid Social,0.48517087276669824,49719.545525213194,130725.49229869457
7,Display,0.6057102142494248,104621.22107152457,669318.3417942908
7,Affiliate,0.10656716219901781,55026.73198622074,429514.9746831058
7,Email / CRM,0.6376918421121605,5532.416521779606,161443.00528241112
7,Direct Mail,0.12756458634979811,72985.13516411574,179401.57083089367
7,Podcast,0.6534323251495616,17609.80145929948,46024.08429373922
8,Paid Search,0.03931728428039275,38233.626303058176,630283.0109686708
