WEEK_START,PROMO_FLAG,HOLIDAY_FLAG,CONSUMER_CONFIDENCE_INDEX,DIAMOND_PRICE_INDEX
2023-01-02,1,0,99.72,106.89
2023-01-09,0,0,99.13,109.75
2023-01-16,0,0,99.37,106.43
2023-01-23,0,0,99.52,107.71
2023-01-30,1,0,99.87,106.18
2023-02-06,0,0,99.39,108.69
2023-02-13,1,1,99.11,106.66
2023-02-20,0,0,100.18,108.03
2023-02-27,0,0,99.35,106.26
2023-03-06,0,0,100.11,106.86
2023-03-13,0,0,100.09,105.76
2023-03-20,0,0,99.52,107.0
2023-03-27,0,0,100.17,106.04
2023-04-03,0,0,98.28,105.35
2023-04-10,0,0,97.97,104.02
2023-04-17,0,0,97.65,105.14
2023-04-24,0,0,98.96,103.34
2023-05-01,0,0,98.87,104.99
2023-05-08,1,1,97.93,103.21
2023-05-15,0,0,97.59,105.59
2023-05-22,0,0,97.43,102.7
2023-05-29,1,0,97.11,105.08
2023-06-05,0,0,97.44,104.39
2023-06-12,0,0,97.31,100.38
2023-06-19,0,0,96.64,104.25
2023-06-26,0,0,97.15,103.01
2023-07-03,0,0,95.46,103.22
2023-07-10,0,0,96.62,101.18
2023-07-17,0,0,97.23,102.93
2023-07-24,0,0,96.93,101.98
2023-07-31,0,0,96.41,103.8
2023-08-07,0,0,96.69,102.09
2023-08-14,0,0,96.19,101.57
2023-08-21,0,0,96.87,103.79
2023-08-28,0,0,97.43,98.87
2023-09-04,0,0,96.22,98.81
2023-09-11,0,0,95.74,100.25
2023-09-18,0,0,95.73,101.08
2023-09-25,0,0,97.08,102.28
2023-10-02,0,0,97.58,99.19
2023-10-09,0,0,98.85,99.84
2023-10-16,0,0,99.12,101.51
2023-10-23,0,0,100.34,100.25
2023-10-30,0,0,99.87,99.44
2023-11-06,0,0,100.19,101.95
2023-11-13,0,0,102.39,97.96
2023-11-20,1,1,101.46,97.56
2023-11-27,0,0,100.23,98.7
2023-12-04,1,0,100.08,97.84
2023-12-11,1,0,98.94,97.28
2023-12-18,1,1,99.34,97.9
2023-12-25,1,0,98.85,97.38
2024-01-01,0,0,100.6,97.94
2024-01-08,0,0,100.55,98.4
2024-01-15,0,0,100.96,95.4
2024-01-22,0,0,101.04,97.3
2024-01-29,0,0,101.03,96.41
2024-02-05,0,0,101.91,95.17
2024-02-12,1,1,101.83,96.78
2024-02-19,0,0,101.59,95.25
2024-02-26,1,0,101.62,97.91
2024-03-04,1,0,101.75,94.54
2024-03-11,0,0,102.75,94.51
2024-03-18,0,0,103.22,93.96
2024-03-25,0,0,102.21,95.23
2024-04-01,0,0,102.17,92.64
2024-04-08,0,0,102.62,93.55
2024-04-15,0,0,100.71,93.79
2024-04-22,0,0,101.02,92.55
2024-04-29,0,0,98.6,95.25
2024-05-06,1,1,99.47,92.07
2024-05-13,0,0,100.68,92.07
2024-05-20,0,0,102.58,93.81
2024-05-27,0,0,104.46,92.39
2024-06-03,1,0,103.72,94.16
2024-06-10,0,0,104.26,92.71
2024-06-17,0,0,104.82,92.62
2024-06-24,0,0,104.31,92.16
2024-07-01,0,0,104.55,90.67
2024-07-08,0,0,103.93,92.21
2024-07-15,0,0,103.4,91.76
2024-07-22,0,0,103.86,92.48
2024-07-29,1,0,103.6,90.7
2024-08-05,1,0,104.15,89.17
2024-08-12,0,0,103.8,91.38
2024-08-19,0,0,105.39,91.34
2024-08-26,0,0,105.3,87.92
2024-09-02,0,0,104.6,89.39
2024-09-09,0,0,103.98,90.03
2024-09-16,0,0,103.3,88.93
2024-09-23,0,0,103.96,89.54
2024-09-30,0,0,104.16,88.72
2024-10-07,0,0,105.25,89.48
2024-10-14,0,0,105.52,89.04
2024-10-21,0,0,106.26,89.6
2024-10-28,0,0,106.37,86.62
2024-11-04,0,0,105.92,89.71
2024-11-11,0,0,106.09,87.28
2024-11-18,1,0,107.4,88.89
2024-11-25,1,1,106.53,85.78
2024-12-02,0,0,105.35,84.88
2024-12-09,0,0,104.48,85.09
2024-12-16,1,1,102.25,86.08
2024-12-23,1,1,100.64,86.14
2024-12-30,1,0,101.63,87.05
2025-01-06,0,0,100.49,87.85
2025-01-13,0,0,100.81,83.8
2025-01-20,0,0,101.61,84.16
2025-01-27,1,0,102.03,85.64
2025-02-03,1,0,100.58,85.21
2025-02-10,1,1,100.6,84.39
2025-02-17,1,0,100.42,86.02
2025-02-24,0,0,99.94,83.08
2025-03-03,0,0,101.51,82.99
2025-03-10,1,0,101.01,84.38
2025-03-17,0,0,100.88,84.43
2025-03-24,0,0,101.42,82.13
2025-03-31,0,0,99.38,82.87
2025-04-07,0,0,99.44,82.56
2025-04-14,0,0,99.34,82.36
2025-04-21,0,0,99.15,81.15
2025-04-28,0,0,96.77,82.73
2025-05-05,1,1,97.17,81.67
2025-05-12,0,0,96.89,82.1
2025-05-19,0,0,96.18,81.8
2025-05-26,0,0,96.71,81.78
2025-06-02,0,0,96.71,82.12
2025-06-09,0,0,96.71,81.72
2025-06-16,0,0,97.01,82.32
2025-06-23,0,0,98.29,81.19
2025-06-30,0,0,98.87,79.68
2025-07-07,0,0,99.1,79.65
2025-07-14,0,0,98.19,77.99
2025-07-21,0,0,96.29,78.97
2025-07-28,0,0,97.41,77.72
2025-08-04,1,0,97.33,80.14
2025-08-11,0,0,96.3,78.71
2025-08-18,0,0,96.99,79.0
2025-08-25,0,0,96.79,78.22
2025-09-01,0,0,96.72,78.13
2025-09-08,0,0,95.01,77.97
2025-09-15,0,0,94.61,78.56
2025-09-22,0,0,95.14,79.58
2025-09-29,0,0,94.75,77.67
2025-10-06,0,0,94.62,79.23
2025-10-13,0,0,94.57,77.55
2025-10-20,0,0,94.79,77.21
2025-10-27,0,0,96.64,76.27
2025-11-03,1,0,97.29,77.32
2025-11-10,0,0,98.7,76.34
2025-11-17,1,0,98.12,76.55
2025-11-24,1,1,99.53,75.21
2025-12-01,0,0,100.93,74.75
2025-12-08,1,0,100.57,74.26
2025-12-15,1,1,99.55,76.68
2025-12-22,1,1,100.31,73.54
