WEEK_START,CHANNEL,SPEND,IMPRESSIONS
2023-01-02,Paid Search,161321.53,4368383
2023-01-09,Paid Search,146478.53,3927051
2023-01-16,Paid Search,103855.06,2629596
2023-01-23,Paid Search,141945.53,3748861
2023-01-30,Paid Search,261542.15,6644513
2023-02-06,Paid Search,172290.19,4798464
2023-02-13,Paid Search,252938.45,7162839
2023-02-20,Paid Search,114338.98,2803069
2023-02-27,Paid Search,176575.23,4444088
2023-03-06,Paid Search,96144.37,2515191
2023-03-13,Paid Search,59558.53,1577997
2023-03-20,Paid Search,132219.08,3545815
2023-03-27,Paid Search,115804.37,3079141
2023-04-03,Paid Search,165900.94,4516923
2023-04-10,Paid Search,196416.98,5280136
2023-04-17,Paid Search,157429.56,4084928
2023-04-24,Paid Search,158684.62,4778351
2023-05-01,Paid Search,111005.58,2626986
2023-05-08,Paid Search,136866.47,3842265
2023-05-15,Paid Search,217654.6,5617511
2023-05-22,Paid Search,128015.1,3084300
2023-05-29,Paid Search,290717.9,7601382
2023-06-05,Paid Search,117449.7,2784450
2023-06-12,Paid Search,142078.04,3845593
2023-06-19,Paid Search,112115.94,2845040
2023-06-26,Paid Search,171782.33,4373214
2023-07-03,Paid Search,103548.96,2749973
2023-07-10,Paid Search,129579.85,3478978
2023-07-17,Paid Search,194203.16,5481206
2023-07-24,Paid Search,146719.09,3765992
2023-07-31,Paid Search,99602.17,2837483
2023-08-07,Paid Search,146949.04,3720662
2023-08-14,Paid Search,126789.6,3212003
2023-08-21,Paid Search,228074.21,6171191
2023-08-28,Paid Search,82654.68,2163621
2023-09-04,Paid Search,151252.39,4168853
2023-09-11,Paid Search,167558.34,4859935
2023-09-18,Paid Search,108102.22,3048179
2023-09-25,Paid Search,105849.95,2931940
2023-10-02,Paid Search,220121.24,6142075
2023-10-09,Paid Search,104327.19,2710780
2023-10-16,Paid Search,123238.54,3179335
2023-10-23,Paid Search,187915.04,5119958
2023-10-30,Paid Search,269072.49,7070475
2023-11-06,Paid Search,118975.28,3230417
2023-11-13,Paid Search,193468.48,5203213
2023-11-20,Paid Search,268171.02,6395393
2023-11-27,Paid Search,165754.42,4394593
2023-12-04,Paid Search,248161.38,7202263
2023-12-11,Paid Search,207365.53,5699567
2023-12-18,Paid Search,217212.27,5627499
2023-12-25,Paid Search,149229.24,4169493
2024-01-01,Paid Search,190782.5,5147352
2024-01-08,Paid Search,278902.44,7122860
2024-01-15,Paid Search,152333.21,3858928
2024-01-22,Paid Search,340397.14,9451686
2024-01-29,Paid Search,133889.36,3509979
2024-02-05,Paid Search,161004.53,4118005
2024-02-12,Paid Search,260086.58,7142675
2024-02-19,Paid Search,150135.49,3743982
2024-02-26,Paid Search,195026.9,5005382
2024-03-04,Paid Search,124047.49,3149730
2024-03-11,Paid Search,150302.65,3577056
2024-03-18,Paid Search,158156.68,3946436
2024-03-25,Paid Search,212678.33,5632928
2024-04-01,Paid Search,38152.34,1056660
2024-04-08,Paid Search,41923.23,1141068
2024-04-15,Paid Search,98423.39,2478620
2024-04-22,Paid Search,61924.7,1693617
2024-04-29,Paid Search,67821.05,1767257
2024-05-06,Paid Search,182709.94,5068855
2024-05-13,Paid Search,131863.86,3339393
2024-05-20,Paid Search,167699.56,4221358
2024-05-27,Paid Search,179794.69,5061343
2024-06-03,Paid Search,171811.4,4565185
2024-06-10,Paid Search,195799.87,5254564
2024-06-17,Paid Search,205863.91,4941857
2024-06-24,Paid Search,277924.27,7199675
2024-07-01,Paid Search,118555.84,3030485
2024-07-08,Paid Search,195408.33,4993487
2024-07-15,Paid Search,111646.64,2905222
2024-07-22,Paid Search,199412.75,5307733
2024-07-29,Paid Search,173119.28,4594214
2024-08-05,Paid Search,113531.78,3084250
2024-08-12,Paid Search,150792.8,3743288
2024-08-19,Paid Search,152849.04,4335706
2024-08-26,Paid Search,186903.37,4392556
2024-09-02,Paid Search,130216.27,3180693
2024-09-09,Paid Search,178564.04,5007717
2024-09-16,Paid Search,217847.49,6009963
2024-09-23,Paid Search,127850.08,3234596
2024-09-30,Paid Search,90466.26,2386708
2024-10-07,Paid Search,145549.82,3808827
2024-10-14,Paid Search,100421.66,2746429
2024-10-21,Paid Search,159378.51,4069715
2024-10-28,Paid Search,196458.2,5190164
2024-11-04,Paid Search,115406.76,3049814
2024-11-11,Paid Search,323714.04,7497738
2024-11-18,Paid Search,264758.17,6801749
2024-11-25,Paid Search,121139.09,2843393
2024-12-02,Paid Search,144992.68,3972738
2024-12-09,Paid Search,241036.09,6257101
2024-12-16,Paid Search,257747.68,6557876
2024-12-23,Paid Search,166589.8,4614125
2024-12-30,Paid Search,211779.35,5595898
2025-01-06,Paid Search,107659.73,2754795
2025-01-13,Paid Search,156491.61,4522770
2025-01-20,Paid Search,144616.53,3900488
2025-01-27,Paid Search,165655.37,4068688
2025-02-03,Paid Search,145966.85,3930361
2025-02-10,Paid Search,219852.59,5772119
2025-02-17,Paid Search,170699.81,4508724
2025-02-24,Paid Search,144118.84,3803721
2025-03-03,Paid Search,187483.55,4815068
2025-03-10,Paid Search,150051.9,3834230
2025-03-17,Paid Search,196418.98,5374039
2025-03-24,Paid Search,140667.0,3381730
2025-03-31,Paid Search,172170.16,4480330
2025-04-07,Paid Search,180449.03,4654807
2025-04-14,Paid Search,167618.56,4630691
2025-04-21,Paid Search,204196.15,5815765
2025-04-28,Paid Search,119016.19,3024023
2025-05-05,Paid Search,144249.91,4098128
2025-05-12,Paid Search,139790.36,3696038
2025-05-19,Paid Search,146867.55,3768966
2025-05-26,Paid Search,118414.17,3154301
2025-06-02,Paid Search,139976.86,3494957
2025-06-09,Paid Search,124865.77,3224362
2025-06-16,Paid Search,176857.08,4887667
2025-06-23,Paid Search,205082.61,5159133
2025-06-30,Paid Search,134985.34,3675380
2025-07-07,Paid Search,167471.17,4289881
2025-07-14,Paid Search,115879.92,3346235
2025-07-21,Paid Search,141597.26,3523265
2025-07-28,Paid Search,76472.09,1877819
2025-08-04,Paid Search,157261.9,3919738
