WEEK_START,COMPONENT,CONTRIBUTION
2023-01-02,Paid Search,668562.0354752219
2023-01-09,Paid Search,675091.4985942631
2023-01-16,Paid Search,611063.3440377006
2023-01-23,Paid Search,665634.8859779772
2023-01-30,Paid Search,729397.8973308429
2023-02-06,Paid Search,707003.529076499
2023-02-13,Paid Search,729231.8986904036
2023-02-20,Paid Search,653238.5962989577
2023-02-27,Paid Search,700347.2986007888
2023-03-06,Paid Search,601950.284294689
2023-03-13,Paid Search,455634.9630072253
2023-03-20,Paid Search,643222.8080259558
2023-03-27,Paid Search,628687.0656769669
2023-04-03,Paid Search,690649.79832636
2023-04-10,Paid Search,712777.5147608172
2023-04-17,Paid Search,692462.3909993076
2023-04-24,Paid Search,690273.9929334766
2023-05-01,Paid Search,629355.6550728875
2023-05-08,Paid Search,660786.0489961951
2023-05-15,Paid Search,719373.8389940436
2023-05-22,Paid Search,664966.6863541366
2023-05-29,Paid Search,733001.6866916962
2023-06-05,Paid Search,662244.6392770311
2023-06-12,Paid Search,671020.4555025272
2023-06-19,Paid Search,627040.9138835523
2023-06-26,Paid Search,695238.2480676449
2023-07-03,Paid Search,615955.3759045271
2023-07-10,Paid Search,649356.1518040692
2023-07-17,Paid Search,709601.3912695706
2023-07-24,Paid Search,682345.592859499
2023-07-31,Paid Search,604122.9799370535
2023-08-07,Paid Search,671210.8876722648
2023-08-14,Paid Search,651218.5644758038
2023-08-21,Paid Search,722221.6626088719
2023-08-28,Paid Search,582891.8826161663
2023-09-04,Paid Search,675121.9502509815
2023-09-11,Paid Search,695077.0630559572
2023-09-18,Paid Search,625076.2735084782
2023-09-25,Paid Search,607083.7604791204
2023-10-02,Paid Search,718828.6468478111
2023-10-09,Paid Search,627988.6419037693
2023-10-16,Paid Search,640867.522810755
2023-10-23,Paid Search,706033.9823536869
2023-10-30,Paid Search,731324.536996911
2023-11-06,Paid Search,661987.6465920733
2023-11-13,Paid Search,710247.1097946021
2023-11-20,Paid Search,731377.4877228179
2023-11-27,Paid Search,704354.3999515321
2023-12-04,Paid Search,728372.1671497328
2023-12-11,Paid Search,721032.8475496419
2023-12-18,Paid Search,722751.731123735
2023-12-25,Paid Search,688757.5395515945
2024-01-01,Paid Search,710375.8951732981
2024-01-08,Paid Search,732581.2079042202
2024-01-15,Paid Search,696402.0177269722
2024-01-22,Paid Search,736410.6391348952
2024-01-29,Paid Search,686854.2151091981
2024-02-05,Paid Search,692056.9877095186
2024-02-12,Paid Search,729805.1284794821
2024-02-19,Paid Search,692729.4419581753
2024-02-26,Paid Search,712649.5755616942
2024-03-04,Paid Search,657160.6011869621
2024-03-11,Paid Search,678948.7964142435
2024-03-18,Paid Search,688086.9782908681
2024-03-25,Paid Search,718886.892088865
2024-04-01,Paid Search,415777.8913116049
2024-04-08,Paid Search,337683.2326780931
2024-04-15,Paid Search,563427.8174980481
2024-04-22,Paid Search,456045.9706585649
2024-04-29,Paid Search,466840.32375620457
2024-05-06,Paid Search,697554.8306473686
2024-05-13,Paid Search,662810.1134559772
2024-05-20,Paid Search,694368.3758214217
2024-05-27,Paid Search,704836.2709776743
2024-06-03,Paid Search,701289.0806958604
2024-06-10,Paid Search,713467.0443655774
2024-06-17,Paid Search,718412.1091528393
2024-06-24,Paid Search,732764.6153134167
2024-07-01,Paid Search,663406.4653119271
2024-07-08,Paid Search,711277.2959875737
2024-07-15,Paid Search,637360.3751576054
2024-07-22,Paid Search,711820.5863871506
2024-07-29,Paid Search,703058.629093118
2024-08-05,Paid Search,637673.7061288826
2024-08-12,Paid Search,677785.5698387393
2024-08-19,Paid Search,683145.0815887615
2024-08-26,Paid Search,707819.6714989602
2024-09-02,Paid Search,663683.3608036847
2024-09-09,Paid Search,701944.8040273265
2024-09-16,Paid Search,721240.7843515101
2024-09-23,Paid Search,665770.8887494167
2024-09-30,Paid Search,577865.898407199
2024-10-07,Paid Search,667996.4007206446
2024-10-14,Paid Search,601778.6319643721
2024-10-21,Paid Search,683692.9808733688
2024-10-28,Paid Search,712331.7805794902
2024-11-04,Paid Search,643994.5223032625
2024-11-11,Paid Search,735264.9444872581
2024-11-18,Paid Search,732818.8735754085
2024-11-25,Paid Search,666923.6915631448
2024-12-02,Paid Search,674877.5455670458
2024-12-09,Paid Search,725980.0391528454
2024-12-16,Paid Search,730864.3847180014
2024-12-23,Paid Search,704618.8663821471
2024-12-30,Paid Search,719779.4224574502
2025-01-06,Paid Search,634992.6162273666
2025-01-13,Paid Search,683381.5901082936
2025-01-20,Paid Search,675610.1600699063
2025-01-27,Paid Search,693844.9403913708
2025-02-03,Paid Search,678639.2480355351
2025-02-10,Paid Search,720758.9007813138
2025-02-17,Paid Search,703417.1614841557
2025-02-24,Paid Search,678751.9507620723
2025-03-03,Paid Search,707944.8972291333
2025-03-10,Paid Search,685191.6407624242
2025-03-17,Paid Search,712599.1024518369
2025-03-24,Paid Search,677174.7846427421
2025-03-31,Paid Search,698790.5491477272
2025-04-07,Paid Search,705691.2214133155
2025-04-14,Paid Search,698687.1512795967
2025-04-21,Paid Search,716605.644879929
2025-04-28,Paid Search,651557.1696009567
2025-05-05,Paid Search,672022.2618073634
2025-05-12,Paid Search,668711.3687074208
2025-05-19,Paid Search,676251.7244717975
2025-05-26,Paid Search,639089.3069003031
2025-06-02,Paid Search,665485.1994449443
2025-06-09,Paid Search,647534.4593112986
2025-06-16,Paid Search,699756.9066494837
2025-06-23,Paid Search,716895.1019946113
2025-06-30,Paid Search,672385.3963610625
2025-07-07,Paid Search,695134.8056507815
2025-07-14,Paid Search,639111.4096170913
2025-07-21,Paid Search,667589.1135139071
2025-07-28,Paid Search,536049.5906368924
2025-08-04,Paid Search,678780.6285800912
2025-08-11,Paid Search,628566.5413819416
2025-08-18,Paid Search,695760.8772403847
2025-08-25,Paid Search,716978.3590594806
2025-09-01,Paid Search,720306.3993473958
2025-09-08,Paid Search,660378.868659206
2025-09-15,Paid Search,621788.0541013983
2025-09-22,Paid Search,733638.5657055834
2025-09-29,Paid Search,697553.7598172632
2025-10-06,Paid Search,727384.3443193936
2025-10-13,Paid Search,729113.5046969301
2025-10-20,Paid Search,653728.1325263438
2025-10-27,Paid Search,681920.1415047316
2025-11-03,Paid Search,682629.7606839181
2025-11-10,Paid Search,615512.44192505
2025-11-17,Paid Search,666357.4742632305
2025-11-24,Paid Search,735489.747636178
2025-12-01,Paid Search,706704.9597749162
2025-12-08,Paid Search,720838.9335456657
2025-12-15,Paid Search,716077.0319997281
2025-12-22,Paid Search,724580.9758545805
2023-01-02,Connected TV,57558.22168452027
2023-01-09,Connected TV,67568.53792321277
2023-01-16,Connected TV,108946.73918981131
2023-01-23,Connected TV,122380.99042667486
2023-01-30,Connected TV,165765.15344512698
2023-02-06,Connected TV,167730.390254564
2023-02-13,Connected TV,100153.4691873098
2023-02-20,Connected TV,60609.67448671275
2023-02-27,Connected TV,37421.31598035944
2023-03-06,Connected TV,73487.32373885218
2023-03-13,Connected TV,136753.18126267896
2023-03-20,Connected TV,114910.48457246766
2023-03-27,Connected TV,129777.76127498392
2023-04-03,Connected TV,152150.18434095813
2023-04-10,Connected TV,136792.39674483894
2023-04-17,Connected TV,81475.92213269538
2023-04-24,Connected TV,49403.05088260437
2023-05-01,Connected TV,30393.0764597814
2023-05-08,Connected TV,103493.9524962467
2023-05-15,Connected TV,153952.56958129947
2023-05-22,Connected TV,168722.20703606828
2023-05-29,Connected TV,157011.85692499683
2023-06-05,Connected TV,169126.9949929162
2023-06-12,Connected TV,153097.86525262843
2023-06-19,Connected TV,91940.31609510728
2023-06-26,Connected TV,55982.01238469714
2023-07-03,Connected TV,34634.95725105702
2023-07-10,Connected TV,104292.04600418732
2023-07-17,Connected TV,104426.04007299256
2023-07-24,Connected TV,136657.45006579973
2023-07-31,Connected TV,154862.50478818512
2023-08-07,Connected TV,139183.49304611926
2023-08-14,Connected TV,154092.68775340918
2023-08-21,Connected TV,91789.18700331272
2023-08-28,Connected TV,55550.80027352572
2023-09-04,Connected TV,34179.27216017415
2023-09-11,Connected TV,109632.63810574176
2023-09-18,Connected TV,120108.6211384787
2023-09-25,Connected TV,155537.2654013177
2023-10-02,Connected TV,151937.37695551605
2023-10-09,Connected TV,154031.12946502064
2023-10-16,Connected TV,197431.70257545417
2023-10-23,Connected TV,118895.3059475018
2023-10-30,Connected TV,71982.10279635798
2023-11-06,Connected TV,44349.80409638357
2023-11-13,Connected TV,83302.22849051403
2023-11-20,Connected TV,143750.78372759084
2023-11-27,Connected TV,159042.89270043027
2023-12-04,Connected TV,145135.33560238528
2023-12-11,Connected TV,172414.95144631728
2023-12-18,Connected TV,205153.46596756548
2023-12-25,Connected TV,124034.36677111212
2024-01-01,Connected TV,75293.24759205969
2024-01-08,Connected TV,46398.64985640742
2024-01-15,Connected TV,93241.28610308656
2024-01-22,Connected TV,113111.0314878635
2024-01-29,Connected TV,178790.57387490862
2024-02-05,Connected TV,199331.10215390177
2024-02-12,Connected TV,167344.1839514739
2024-02-19,Connected TV,159651.35560864297
2024-02-26,Connected TV,96044.05915491722
2024-03-04,Connected TV,58608.83246042588
2024-03-11,Connected TV,36272.755351813496
2024-03-18,Connected TV,86388.99170141981
2024-03-25,Connected TV,120290.36126483284
2024-04-01,Connected TV,122138.14220008472
2024-04-08,Connected TV,123677.42590055655
2024-04-15,Connected TV,162740.98807902777
2024-04-22,Connected TV,198588.63494923903
2024-04-29,Connected TV,119351.58220948158
2024-05-06,Connected TV,72051.76891935471
2024-05-13,Connected TV,44296.81601968475
2024-05-20,Connected TV,112382.93089873483
2024-05-27,Connected TV,232413.00083638524
2024-06-03,Connected TV,192867.2059060469
2024-06-10,Connected TV,177865.6636576275
2024-06-17,Connected TV,170544.31476834827
2024-06-24,Connected TV,156335.75074637274
2024-07-01,Connected TV,94341.83143715386
2024-07-08,Connected TV,57752.237103143576
2024-07-15,Connected TV,35845.12268944149
2024-07-22,Connected TV,64256.08446557005
2024-07-29,Connected TV,106049.11731022516
2024-08-05,Connected TV,113305.7279271802
2024-08-12,Connected TV,105853.95560886204
2024-08-19,Connected TV,117875.62704312358
2024-08-26,Connected TV,113683.97321410682
2024-09-02,Connected TV,67178.46758045112
2024-09-09,Connected TV,40530.97469619459
2024-09-16,Connected TV,24919.216504252985
2024-09-23,Connected TV,144070.4841040622
2024-09-30,Connected TV,197093.8598306587
2024-10-07,Connected TV,247615.39515903048
2024-10-14,Connected TV,289720.739374897
2024-10-21,Connected TV,245460.01282483392
2024-10-28,Connected TV,293732.38366056693
2024-11-04,Connected TV,187038.65114049232
2024-11-11,Connected TV,116314.4572785228
2024-11-18,Connected TV,72642.87829808569
2024-11-25,Connected TV,177823.19601381797
2024-12-02,Connected TV,238845.9174755005
2024-12-09,Connected TV,217450.21752409928
2024-12-16,Connected TV,244160.04411723136
2024-12-23,Connected TV,235001.77217314945
2024-12-30,Connected TV,226162.2562284744
2025-01-06,Connected TV,139559.60936895414
2025-01-13,Connected TV,85782.69209636627
2025-01-20,Connected TV,53489.31793221398
2025-01-27,Connected TV,121168.62352478877
2025-02-03,Connected TV,169548.65322520054
2025-02-10,Connected TV,172687.73525686405
2025-02-17,Connected TV,142157.08332654607
2025-02-24,Connected TV,129321.2358837083
2025-03-03,Connected TV,144261.18346910534
2025-03-10,Connected TV,86016.17560472638
2025-03-17,Connected TV,52003.68369744901
2025-03-24,Connected TV,32024.00132735378
2025-03-31,Connected TV,115707.46311162515
2025-04-07,Connected TV,102244.76829046902
2025-04-14,Connected TV,111870.66433660146
2025-04-21,Connected TV,124387.3431637142
2025-04-28,Connected TV,137127.39099477176
2025-05-05,Connected TV,122242.87656958651
2025-05-12,Connected TV,72553.44403085939
2025-05-19,Connected TV,44001.79617230469
2025-05-26,Connected TV,27206.764014178003
2025-06-02,Connected TV,84241.08625324025
2025-06-09,Connected TV,107462.46037161384
2025-06-16,Connected TV,119666.93125264258
2025-06-23,Connected TV,152343.10343474068
2025-06-30,Connected TV,175387.90961258195
2025-07-07,Connected TV,148206.63885198926
2025-07-14,Connected TV,88723.7325333884
2025-07-21,Connected TV,53911.221908517226
2025-07-28,Connected TV,33320.17378881482
2025-08-04,Connected TV,125169.44262211934
2025-08-11,Connected TV,118129.6456759833
2025-08-18,Connected TV,154572.58956529875
2025-08-25,Connected TV,162073.5202340637
2025-09-01,Connected TV,200583.21492747444
2025-09-08,Connected TV,176442.38479971077
2025-09-15,Connected TV,106504.6111800875
2025-09-22,Connected TV,64846.69537105256
2025-09-29,Connected TV,40069.96086322065
2025-10-06,Connected TV,79911.92057795708
2025-10-13,Connected TV,143238.0673127834
2025-10-20,Connected TV,142632.68655948472
2025-10-27,Connected TV,139506.78511603922
2025-11-03,Connected TV,146955.30621370478
2025-11-10,Connected TV,141119.30073145355
2025-11-17,Connected TV,84109.17255342491
2025-11-24,Connected TV,50993.89645633056
2025-12-01,Connected TV,31346.181675073574
2025-12-08,Connected TV,120839.19132549276
2025-12-15,Connected TV,140176.01789280667
2025-12-22,Connected TV,134628.0654122328
2023-01-02,Paid Social,88441.92551648153
2023-01-09,Paid Social,118806.59592609789
2023-01-16,Paid Social,175041.19001264326
2023-01-23,Paid Social,192253.74042507124
2023-01-30,Paid Social,173747.33885166
2023-02-06,Paid Social,206631.67956638124
2023-02-13,Paid Social,206681.08603557493
2023-02-20,Paid Social,194765.82159437492
2023-02-27,Paid Social,172540.75519482102
2023-03-06,Paid Social,189725.69099631984
2023-03-13,Paid Social,187427.0152404646
2023-03-20,Paid Social,169098.4887047136
2023-03-27,Paid Social,163103.90158152248
2023-04-03,Paid Social,159106.71307112472
2023-04-10,Paid Social,149038.26249469095
2023-04-17,Paid Social,153984.99788501483
2023-04-24,Paid Social,146108.45287647942
2023-05-01,Paid Social,149329.565233156
2023-05-08,Paid Social,193087.43697018843
2023-05-15,Paid Social,180868.4937131727
2023-05-22,Paid Social,143802.3812688772
2023-05-29,Paid Social,159438.945464642
2023-06-05,Paid Social,144095.94304788316
2023-06-12,Paid Social,134460.65230392938
2023-06-19,Paid Social,151626.7264053928
2023-06-26,Paid Social,139846.20701733246
2023-07-03,Paid Social,178834.42533760087
2023-07-10,Paid Social,177047.86440129136
2023-07-17,Paid Social,162350.51432002132
2023-07-24,Paid Social,167870.36184416697
2023-07-31,Paid Social,181956.004938141
2023-08-07,Paid Social,178450.75546070564
2023-08-14,Paid Social,163683.0403252476
2023-08-21,Paid Social,168361.94532885653
2023-08-28,Paid Social,179382.50669319945
2023-09-04,Paid Social,169380.52909843277
2023-09-11,Paid Social,176849.64817725055
2023-09-18,Paid Social,166235.13427746075
2023-09-25,Paid Social,161503.93801399288
2023-10-02,Paid Social,161386.6921200286
2023-10-09,Paid Social,165703.51450860553
2023-10-16,Paid Social,160387.40696435084
2023-10-23,Paid Social,169898.65106539946
2023-10-30,Paid Social,168753.8108737505
2023-11-06,Paid Social,165288.99873950667
2023-11-13,Paid Social,156947.36672978292
2023-11-20,Paid Social,154513.3117762154
2023-11-27,Paid Social,163258.11178911294
2023-12-04,Paid Social,159872.2962069881
2023-12-11,Paid Social,173016.58663166477
2023-12-18,Paid Social,166648.35760861653
2023-12-25,Paid Social,153070.41840837282
2024-01-01,Paid Social,172175.70699603553
2024-01-08,Paid Social,199514.10462489448
2024-01-15,Paid Social,174023.1771269659
2024-01-22,Paid Social,178705.2046731215
2024-01-29,Paid Social,197973.0985980228
2024-02-05,Paid Social,191703.572894598
2024-02-12,Paid Social,209425.28813608552
2024-02-19,Paid Social,183862.1573024827
2024-02-26,Paid Social,174411.17801709144
2024-03-04,Paid Social,153339.99044670752
2024-03-11,Paid Social,148282.4309842812
2024-03-18,Paid Social,140536.53578501407
2024-03-25,Paid Social,178527.01481149302
2024-04-01,Paid Social,147036.22054472275
2024-04-08,Paid Social,169796.21848773878
2024-04-15,Paid Social,186468.91740439963
2024-04-22,Paid Social,184721.3088511335
2024-04-29,Paid Social,191165.9722428437
2024-05-06,Paid Social,161808.97175799822
2024-05-13,Paid Social,174202.19347519812
2024-05-20,Paid Social,183398.256338153
2024-05-27,Paid Social,173373.40455664005
2024-06-03,Paid Social,152979.669791171
2024-06-10,Paid Social,164281.89450698704
2024-06-17,Paid Social,194438.03577671488
2024-06-24,Paid Social,172190.86632027227
2024-07-01,Paid Social,150703.0057759977
2024-07-08,Paid Social,143797.54279187534
2024-07-15,Paid Social,156906.68804638158
2024-07-22,Paid Social,162435.82503503078
2024-07-29,Paid Social,193804.1137779327
2024-08-05,Paid Social,163990.4355300708
2024-08-12,Paid Social,186203.7138958692
2024-08-19,Paid Social,168601.18986929566
2024-08-26,Paid Social,204788.59210851457
2024-09-02,Paid Social,210493.33686601237
2024-09-09,Paid Social,189006.66617100473
2024-09-16,Paid Social,168360.6014108078
2024-09-23,Paid Social,165990.0243406058
2024-09-30,Paid Social,164791.0662054763
2024-10-07,Paid Social,151750.71208087713
2024-10-14,Paid Social,147932.1040292008
2024-10-21,Paid Social,162065.91131268628
2024-10-28,Paid Social,170204.43380285532
2024-11-04,Paid Social,186042.70922096455
2024-11-11,Paid Social,160138.59932466934
2024-11-18,Paid Social,179141.54133939694
2024-11-25,Paid Social,171281.97958092426
2024-12-02,Paid Social,179700.78802306828
2024-12-09,Paid Social,187592.79741630593
