CHANNEL,PARAMETER,TRUE_VALUE,ESTIMATE,ESTIMATE_P05,ESTIMATE_P95
Paid Search,decay,0.05,0.1202949159761747,0.0309027632589893,0.2387762482844806
Paid Search,roi,3.995340223249525,4.098559253059885,2.4435244961280893,6.210454718362434
Paid Search,marginal_roi,0.5305992492272369,0.8172693900465763,0.4647359455793823,1.1809395465953607
Connected TV,decay,0.75,0.5641296828453526,0.3548388358760835,0.7205021214395513
Connected TV,roi,3.653321668978893,3.7252010256080426,2.2375561389136047,5.468021635864288
Connected TV,marginal_roi,3.696578318887482,3.6863379564132144,2.2464445650818288,5.3319865290054045
Paid Social,decay,0.3,0.4824077567449795,0.1719620010704537,0.7528253297874296
Paid Social,roi,2.287599951185956,1.7084280346354908,0.3709601736948577,4.079707330928609
Paid Social,marginal_roi,1.645733570018214,0.9935795530687876,0.2440133650950245,1.9149956684796992
Display,decay,0.3,0.524726052588357,0.2601404158514837,0.7503902692387154
Display,roi,1.1560966916734936,2.466583015091403,0.8615275405292255,4.35173994452808
Display,marginal_roi,0.9430591332619808,2.0530121860380377,0.7849817079130252,3.382495250688242
Affiliate,decay,0.1,0.2117534408597592,0.0386595553174378,0.5123020328997608
Affiliate,roi,1.8121724732746811,3.556092102222717,1.3122597926304689,6.947470567066537
Affiliate,marginal_roi,1.503241756217086,2.0702839944221214,0.8768424699238987,3.3098817129631657
Email / CRM,decay,0.05,0.4848157637025931,0.1736680905738121,0.8444833719131853
Email / CRM,roi,3.8720895319623594,4.0189567724788775,0.4058797884184753,10.4105686141306
Email / CRM,marginal_roi,1.7928185917515649,3.2369802372383014,0.4067133370546179,7.642862954175237
Direct Mail,decay,0.4,0.4708194668445384,0.1585857570525316,0.8143223352130573
Direct Mail,roi,1.1666073326018809,1.2848330922171691,0.2695254659122723,2.9635645988882544
Direct Mail,marginal_roi,1.1021376474858873,1.1876356734789513,0.2688296038400707,2.551518889447307
Podcast,decay,0.65,0.5520305944534569,0.1755363792731094,0.8784226428172155
Podcast,roi,2.013337534567831,1.737545261863296,0.2896294375003447,3.9707230939709417
Podcast,marginal_roi,2.0320645437382012,1.6186143562655189,0.2387335937118896,3.379343315700332
