DRAW,CHANNEL,DECAY,K,BETA
0,Paid Search,0.0859521930326884,44524.70775114926,912731.6906980224
0,Connected TV,0.4507525044990497,32833.32726306945,247621.18824304937
0,Paid Social,0.4543131323092137,181132.11778644056,527124.2524574721
0,Display,0.7341902123495401,173423.54639651228,386412.3619109501
0,Affiliate,0.6885401789204548,38338.95750352825,208720.75470457165
0,Email / CRM,0.2581258447186835,10161.122389569282,47278.168465632654
0,Direct Mail,0.1825913570272455,109128.594462687,66243.82852563194
0,Podcast,0.293995107806584,24467.98718398467,57021.91744255147
1,Paid Search,0.0455974318366482,45998.83239101421,661775.4777146151
1,Connected TV,0.35405191654556,146243.61984247997,459667.7299717328
1,Paid Social,0.80141270004176,68482.07545993282,396618.6292485962
1,Display,0.5535242003282376,126801.09389855176,602851.3778911447
1,Affiliate,0.2103427836322884,80820.11039474959,265674.58688630234
1,Email / CRM,0.406031210970592,4709.721080113243,115793.77900654628
1,Direct Mail,0.6543357324710646,62445.522082185686,258954.6880642226
1,Podcast,0.8012679779897627,24335.560256150748,107151.9712780444
2,Paid Search,0.1986027749015164,47264.72353383213,889196.7345402777
2,Connected TV,0.5974386812964216,146940.9822947252,1092755.9257507066
2,Paid Social,0.22373649475012,38724.13284489393,225160.40605548825
2,Display,0.6948732142517906,71180.95157907417,547098.4502382857
2,Affiliate,0.1509745318970697,31540.204648973227,275102.4071241544
2,Email / CRM,0.8226654258198762,6322.4525234388,35783.21268094426
2,Direct Mail,0.2551767260806639,117517.99969549268,83187.313140715
2,Podcast,0.4804064585799461,75618.3037095484,211514.17923187828
3,Paid Search,0.0808434476879785,35985.1737499664,956785.7082745768
3,Connected TV,0.4366990126276887,76630.14543311422,446274.07502521574
3,Paid Social,0.6644329357868312,43984.95984169521,116419.80940310236
3,Display,0.4178937197331057,70756.25609747153,247041.03087048233
3,Affiliate,0.0905970758273253,72314.2224612998,421932.7777336432
3,Email / CRM,0.7453677443744294,8811.356161734318,179031.62477267586
3,Direct Mail,0.3045282911724464,48324.36843316095,155661.79196920677
3,Podcast,0.6454003555981311,45025.6523685319,38117.085441221745
4,Paid Search,0.1063582303510869,48910.23792454833,801715.675623574
4,Connected TV,0.503333798043266,96765.2474640456,611881.1403566088
4,Paid Social,0.3927063774149079,109418.24087113256,174272.78375316024
4,Display,0.5502444539605068,27105.636109914503,163673.68348582738
4,Affiliate,0.280150808454732,21005.50347307747,229485.83563903236
4,Email / CRM,0.6410269711618821,19734.986864300077,166407.045158864
4,Direct Mail,0.5038055042821428,25071.35983750819,122750.88987084186
4,Podcast,0.5971143991142339,7322.488179432835,14040.352479916137
5,Paid Search,0.0353930713250859,43231.16982458377,651836.5022991252
5,Connected TV,0.5079131123818766,118723.53265389094,1018422.4812427892
5,Paid Social,0.4532983404504654,147944.05256780525,597445.5430839655
5,Display,0.3192888827073707,56487.739505049496,212425.3942058127
5,Affiliate,0.3270871032403294,33841.82224902056,435139.7366398407
5,Email / CRM,0.5529146455647085,5885.5563330414825,72018.2854055212
5,Direct Mail,0.4326707359933457,73734.8398989885,236742.02979310145
5,Podcast,0.4785380076078606,46259.543474157625,65610.14931805004
6,Paid Search,0.0806413736030576,43164.8070561612,894125.637957756
6,Connected TV,0.3799845154890162,69995.65942635179,476142.1966576508
6,Paid Social,0.3262697783929885,31183.9896979521,441373.2300629808
6,Display,0.5443567723141934,22281.17856194908,454998.52198225865
6,Affiliate,0.2054198975981353,34193.290091515126,351980.7961003508
6,Email / CRM,0.3019763445303223,9766.200868294509,241163.3665943741
6,Direct Mail,0.4831765752562368,37266.51406267251,183558.5682487713
6,Podcast,0.3642680897515651,26332.461957153217,16841.78123221353
7,Paid Search,0.121319899502088,41563.025875315696,808713.6548078092
7,Connected TV,0.5313472341947851,67853.24944626665,424696.2816907909
7,Paid Social,0.4851708727666982,49719.545525213194,130725.49229869456
7,Display,0.6057102142494248,104621.22107152456,669318.3417942908
7,Affiliate,0.1065671621990178,55026.73198622074,429514.9746831058
7,Email / CRM,0.6376918421121605,5532.416521779606,161443.00528241112
7,Direct Mail,0.1275645863497981,72985.13516411574,179401.57083089367
7,Podcast,0.6534323251495616,17609.80145929948,46024.08429373922
8,Paid Search,0.0393172842803927,38233.626303058176,630283.0109686708
8,Connected TV,0.5893708666644268,68126.32717422496,532247.2605255892
8,Paid Social,0.5232638027858276,100788.3237669648,240910.14500488705
8,Display,0.2844344653475508,119277.92963235387,284766.6298347156
8,Affiliate,0.1059731207537513,64057.64912677007,406633.8080147796
8,Email / CRM,0.2998621664641752,8214.972687570511,85876.62496966886
8,Direct Mail,0.2575335431338213,38531.156037552486,124675.17050545232
8,Podcast,0.448493211169199,30786.26582774314,12418.159447120008
9,Paid Search,0.2036623817748897,43550.21865460064,776401.7151879801
9,Connected TV,0.6343190857330749,78006.68401895034,715542.0024863826
9,Paid Social,0.442622966813795,171066.14920521918,376311.2129076948
9,Display,0.5499529133846283,86633.20369808766,473293.4269136668
9,Affiliate,0.3899299123414576,16570.404238268336,500248.79187764664
9,Email / CRM,0.5157378628150123,26642.444516769163,50184.5658887429
9,Direct Mail,0.2992404753190429,57371.27926004294,53101.92791360782
9,Podcast,0.4133540906934077,65119.99338830197,283784.5038827401
10,Paid Search,0.0911147888354928,40465.8758463486,753387.3150295751
10,Connected TV,0.6654583190415166,89160.546181335,754811.2825235869
10,Paid Social,0.5439450160639621,474945.9872497001,766857.9064848386
10,Display,0.155143550778843,28012.49440352076,232429.81769839025
10,Affiliate,0.0659698476206911,40152.76779966521,271477.7288844597
10,Email / CRM,0.1667566649077103,9457.172471752809,117756.50245462888
10,Direct Mail,0.6379880696264442,112748.95892415367,235819.4996298943
10,Podcast,0.6152505969311345,56525.3682353529,123495.30658182631
11,Paid Search,0.1562794161949741,44987.79180748452,606923.4117509704
11,Connected TV,0.5066387772524935,61756.61600158565,426145.6745146129
11,Paid Social,0.3666638465284779,47379.77413823736,152929.258790238
11,Display,0.6391702441953625,66415.23340106512,322905.9763978695
11,Affiliate,0.1066515794710928,20072.29033419185,364663.57829138945
11,Email / CRM,0.2645466888805344,25717.49589704883,65005.1279282481
11,Direct Mail,0.8964827552078557,100385.5512574649,622136.4494227652
