CHANNEL,WEEKLY_SPEND,REVENUE,REVENUE_P05,REVENUE_P95,MARGINAL_ROI,WITHIN_OBSERVED_RANGE
Paid Search,0.0,0.0,0.0,0.0,8.259025914239963,TRUE
Paid Search,6316.044588607594,52069.449364595705,25373.21165333613,89623.63683210913,8.214011358464864,TRUE
Paid Search,12632.089177215188,103574.88255987824,50607.76964319053,177874.23760143592,8.081149772465984,TRUE
Paid Search,18948.133765822786,153979.3271935486,75568.04515621327,263461.6463554415,7.86674195020653,TRUE
Paid Search,25264.178354430376,202796.9059098231,100129.65835838408,345846.23978929996,7.580521764718696,TRUE
Paid Search,31580.22294303797,249611.5073225864,124141.38498196316,424620.7153325497,7.234665720265394,TRUE
Paid Search,37896.26753164557,294088.7036943511,147422.96454454758,498923.447750682,6.842675454634495,TRUE
Paid Search,44212.31212025316,335980.669043695,169918.32690292405,568215.2616304213,6.418304585135128,TRUE
Paid Search,50528.35670886075,375124.8116232606,191540.44283484024,632210.5458093463,5.974658089429614,TRUE
Paid Search,56844.40129746834,411437.4606442631,212450.14414062607,689065.4515266801,5.52353339991129,TRUE
Paid Search,63160.44588607594,444904.2032598149,232878.38944696076,739158.2073839627,5.075016987048463,TRUE
Paid Search,69476.49047468354,475568.4183245955,252447.33232164907,783486.1225397907,4.637310005413995,TRUE
Paid Search,75792.53506329113,503519.3080590968,270730.16068065376,822404.4127424267,4.2167346726833514,TRUE
Paid Search,82108.57965189872,528880.3966263263,287193.5220678566,857154.8396847505,3.817866744324407,TRUE
Paid Search,88424.62424050632,551799.1285923464,302442.7864965368,886337.76728731,3.4437436080269186,TRUE
Paid Search,94740.66882911391,572437.9099062898,316603.4005027905,912211.5231442092,3.0961070695633146,TRUE
Paid Search,101056.7134177215,590966.7105166671,329707.52453146555,934547.682316546,2.775650999800527,TRUE
Paid Search,107372.7580063291,607557.192679886,341795.0926972563,953760.4443292216,2.482254315862113,TRUE
Paid Search,113688.80259493669,622378.2333439102,352982.581072009,970235.3327679238,2.215188168384362,TRUE
Paid Search,120004.84718354428,635592.6594632751,363324.11723471433,985457.8253998432,1.9732924219777948,TRUE
Paid Search,126320.89177215188,647354.9983426597,372536.8289767354,999897.0907490128,1.7551207302357072,TRUE
Paid Search,132636.9363607595,657810.0496269612,381063.3351480992,1012385.875423638,1.5590561008063497,TRUE
Paid Search,138952.98094936708,667092.102453152,388852.6554783053,1023047.0439727992,1.3834002386247328,TRUE
Paid Search,145269.02553797467,675324.6441811628,395937.06469727773,1032189.426666285,1.2264405207028222,TRUE
Paid Search,151585.07012658226,682620.4317891307,402369.21660658374,1037783.3341342614,1.0864984929850854,TRUE
Paid Search,157901.11471518985,689081.8208533715,409389.7787484722,1041553.8964510164,0.9619635096229404,TRUE
Paid Search,164217.15930379744,694801.2686100457,417367.23969222966,1044638.4123146008,0.8513147106238297,TRUE
Paid Search,170533.20389240503,699861.9462782085,424882.5903643677,1047194.5693924552,0.7531340548047722,TRUE
Paid Search,176849.24848101265,704338.4114758405,430639.6206182032,1049311.901373339,0.6661126517728418,TRUE
Paid Search,183165.29306962024,708297.3043349903,434548.8154721657,1051065.0783118056,0.5890522025504016,TRUE
Paid Search,189481.33765822783,711798.0411224328,440134.9744694348,1052516.2758581422,0.5208629788677094,TRUE
Paid Search,195797.38224683545,714893.4871603511,445399.6595636536,1053717.198562737,0.4605594503434104,TRUE
Paid Search,202113.426835443,717630.5969846747,448205.2082002305,1054710.7972059925,0.4072544046032489,TRUE
Paid Search,208429.4714240506,720051.0143180621,450413.81975409633,1055532.719280867,0.3601521923416823,TRUE
Paid Search,214745.5160126582,722191.6278718266,452509.515767597,1056212.5292475638,0.3185415605150636,TRUE
Paid Search,221061.56060126575,724085.0814829561,454646.41511741007,1057058.9021668285,0.2817884051579335,TRUE
Paid Search,227377.60518987337,725760.2388519709,456565.470202204,1057863.633326085,0.2493286740572832,TRUE
Paid Search,233693.649778481,727242.6043476823,458288.11014826654,1058541.518999322,0.2206615727708734,TRUE
Paid Search,240009.69436708855,728554.7021242778,459833.8110929559,1059112.492265676,0.1953431701579667,TRUE
Paid Search,246325.73895569617,729716.4162635468,461220.2428651813,1059593.371840579,0.1729804574742042,TRUE
Paid Search,252641.78354430376,730745.2948951678,462463.4112980386,1059998.3433686737,0.1532258847144309,TRUE
Paid Search,258957.82813291135,731656.8213258749,463577.7946407898,1060339.367896021,0.1357723764951853,TRUE
Paid Search,265273.872721519,732464.6551736356,464576.4730340064,1060626.5280786415,0.1203488151555118,TRUE
Paid Search,271589.91731012653,733180.8463926372,465471.2504062152,1060868.3212924558,0.1067159692000289,TRUE
Paid Search,277905.96189873415,733816.0249166692,466272.7684589552,1061071.907558078,0.0946628393780331,TRUE
Paid Search,284222.0064873417,734379.5684623999,466990.61264434806,1061243.319083177,0.0840033915629317,TRUE
Paid Search,290538.05107594933,734879.7508346474,467633.41021788307,1061387.637249368,0.0745736443885774,TRUE
Paid Search,296854.0956645569,735323.8728731663,468208.9205801444,1061509.1420201226,0.0662290797264118,TRUE
Paid Search,303170.1402531645,735718.3779817539,468724.1182140963,1061611.4380095832,0.0588423451119266,TRUE
Paid Search,309486.18484177213,736068.9539901869,469185.2685871446,1061697.560817358,0.0523012188279453,TRUE
