WEEK_START,SALES_CHANNEL,ORDERS,REVENUE,AVG_ORDER_VALUE
2023-01-02,Online,607,1668250.79,2748.35
2023-01-09,Online,660,1686141.96,2554.76
2023-01-16,Online,676,1667309.55,2466.43
2023-01-23,Online,673,1644452.91,2443.47
2023-01-30,Online,733,1814389.98,2475.29
2023-02-06,Online,788,1884587.88,2391.61
2023-02-13,Online,762,1823907.66,2393.58
2023-02-20,Online,657,1632395.33,2484.62
2023-02-27,Online,650,1665378.62,2562.12
2023-03-06,Online,737,1780783.38,2416.26
2023-03-13,Online,648,1654715.74,2553.57
2023-03-20,Online,694,1661545.25,2394.16
2023-03-27,Online,737,1733249.0,2351.76
2023-04-03,Online,729,1731129.67,2374.66
2023-04-10,Online,710,1763783.82,2484.2
2023-04-17,Online,684,1723968.86,2520.42
2023-04-24,Online,707,1666549.01,2357.21
2023-05-01,Online,669,1667733.99,2492.88
2023-05-08,Online,817,1945959.22,2381.84
2023-05-15,Online,776,1836734.06,2366.93
2023-05-22,Online,755,1835369.97,2430.95
2023-05-29,Online,806,1997332.39,2478.08
2023-06-05,Online,718,1784710.73,2485.67
2023-06-12,Online,696,1726961.1,2481.27
2023-06-19,Online,784,1931761.78,2463.98
2023-06-26,Online,771,1947044.79,2525.35
2023-07-03,Online,702,1759988.15,2507.11
2023-07-10,Online,756,1846511.47,2442.48
2023-07-17,Online,799,1975682.05,2472.69
2023-07-24,Online,773,1952376.11,2525.71
2023-07-31,Online,738,1755743.73,2379.06
2023-08-07,Online,811,1940913.8,2393.24
2023-08-14,Online,777,1906123.98,2453.18
2023-08-21,Online,748,1832724.3,2450.17
2023-08-28,Online,754,1762152.82,2337.07
2023-09-04,Online,855,1916008.22,2240.95
2023-09-11,Online,823,2036484.65,2474.46
2023-09-18,Online,775,1833884.42,2366.3
2023-09-25,Online,774,1861476.24,2405.01
2023-10-02,Online,748,1872386.28,2503.19
2023-10-09,Online,719,1765262.0,2455.16
2023-10-16,Online,848,2035533.42,2400.39
2023-10-23,Online,730,1796231.83,2460.59
2023-10-30,Online,885,2074082.84,2343.6
2023-11-06,Online,802,1994283.09,2486.64
2023-11-13,Online,895,2221689.73,2482.33
2023-11-20,Online,1101,2503604.42,2273.94
2023-11-27,Online,856,2177218.15,2543.48
2023-12-04,Online,937,2343835.34,2501.43
2023-12-11,Online,925,2442703.98,2640.76
2023-12-18,Online,1011,2671257.85,2642.19
2023-12-25,Online,870,2250008.35,2586.22
2024-01-01,Online,760,2058824.13,2708.98
2024-01-08,Online,804,1975500.6,2457.09
2024-01-15,Online,680,1688467.71,2483.04
2024-01-22,Online,828,1919893.36,2318.71
2024-01-29,Online,848,2023039.57,2385.66
2024-02-05,Online,880,2089373.48,2374.29
2024-02-12,Online,944,2292164.39,2428.14
2024-02-19,Online,781,1925171.21,2465.01
2024-02-26,Online,834,2094745.41,2511.69
2024-03-04,Online,808,2046162.13,2532.38
2024-03-11,Online,817,1958138.55,2396.74
2024-03-18,Online,807,1979257.48,2452.61
2024-03-25,Online,818,2000308.4,2445.36
2024-04-01,Online,757,1836674.5,2426.25
2024-04-08,Online,691,1666908.39,2412.31
2024-04-15,Online,868,2222090.32,2560.01
2024-04-22,Online,851,2108171.94,2477.29
2024-04-29,Online,871,2122013.77,2436.3
2024-05-06,Online,878,2049644.54,2334.45
2024-05-13,Online,852,2085092.01,2447.29
2024-05-20,Online,920,2313162.76,2514.31
2024-05-27,Online,906,2241166.86,2473.69
2024-06-03,Online,931,2195597.28,2358.32
2024-06-10,Online,835,2081098.51,2492.33
2024-06-17,Online,913,2295844.23,2514.62
2024-06-24,Online,919,2270961.26,2471.12
2024-07-01,Online,821,1976316.81,2407.21
2024-07-08,Online,893,2137499.3,2393.62
2024-07-15,Online,817,2031969.76,2487.11
2024-07-22,Online,932,2099002.38,2252.15
2024-07-29,Online,903,2204907.54,2441.76
2024-08-05,Online,916,2107707.52,2300.99
2024-08-12,Online,957,2330737.81,2435.46
2024-08-19,Online,943,2231107.27,2365.97
2024-08-26,Online,894,2254309.35,2521.6
2024-09-02,Online,927,2135605.52,2303.78
2024-09-09,Online,907,2207228.88,2433.55
2024-09-16,Online,900,2157296.49,2397.0
2024-09-23,Online,841,2113184.29,2512.7
2024-09-30,Online,767,1955688.03,2549.79
2024-10-07,Online,983,2376265.94,2417.36
2024-10-14,Online,899,2218705.37,2467.97
2024-10-21,Online,971,2308086.68,2377.02
2024-10-28,Online,1020,2472550.63,2424.07
2024-11-04,Online,970,2418383.91,2493.18
2024-11-11,Online,989,2504942.93,2532.8
2024-11-18,Online,1049,2566424.79,2446.54
2024-11-25,Online,1061,2618411.79,2467.87
2024-12-02,Online,1027,2747427.29,2675.2
2024-12-09,Online,1028,2623913.67,2552.45
2024-12-16,Online,1180,3179219.98,2694.25
2024-12-23,Online,1049,2750019.62,2621.56
2024-12-30,Online,994,2593514.24,2609.17
2025-01-06,Online,866,2175925.55,2512.62
2025-01-13,Online,881,2196074.91,2492.71
2025-01-20,Online,874,2126855.82,2433.47
2025-01-27,Online,999,2485567.74,2488.06
2025-02-03,Online,964,2418912.52,2509.25
2025-02-10,Online,1000,2478415.11,2478.42
2025-02-17,Online,952,2306441.63,2422.73
